datetime,active_leaks,new_leaks,n_tags,rolling_cost_estimate,rolling_cost_estimate_b,cum_repaired_leaks,daily_emissions_kg,total_daily_cost,repair_cost,nat_repair_cost,verification_cost,natural_redund_tags,natural_n_tags,OGI_bayes_prop_sites_avail,OGI_bayes_cost,OGI_bayes_sites_visited,OGI_bayes_travel_time,OGI_bayes_survey_time,OGI_bayes_redund_tags,OGI_bayes_missed_leaks,OGI_bayes_sites_vis_w_leaks,OGI_bayes_eff_flags,OGI_bayes_n_tags,OGI_bayes_flags_redund1,OGI_bayes_flags_redund2,OGI_bayes_flag_wo_vent
2023-01-01,18174,42.0,42.0,72.80054644808743,0.0,55.0,79141.44454031112,14600.0,0.0,11000.0,0.0,0.0,55.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,50.0,0.0,0.0,0.0
2023-01-02,18161,48.0,48.0,142.60928961748633,0.0,107.0,79386.78154193678,14000.0,0.0,10400.0,0.0,0.0,52.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,73.0,0.0,0.0,0.0
2023-01-03,18157,46.0,46.0,208.4289617486339,0.0,155.0,79346.24571080261,13200.0,0.0,9600.0,0.0,0.0,48.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,51.0,0.0,0.0,0.0
2023-01-04,18155,49.0,49.0,287.21311475409834,0.0,216.0,79254.14412451473,15800.0,0.0,12200.0,0.0,0.0,61.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,76.0,0.0,0.0,0.0
2023-01-05,18143,51.0,51.0,357.02185792349724,0.0,268.0,79152.37184654865,14000.0,0.0,10400.0,0.0,0.0,52.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,66.0,0.0,0.0,0.0
2023-01-06,18142,42.0,42.0,421.84426229508193,0.0,315.0,79030.09367983021,13000.0,0.0,9400.0,0.0,0.0,47.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,65.0,0.0,0.0,0.0
2023-01-07,18137,47.0,47.0,499.6311475409836,0.0,375.0,79010.73230887252,15600.0,0.0,12000.0,0.0,0.0,60.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,71.0,0.0,0.0,0.0
2023-01-08,18124,51.0,51.0,570.4371584699453,0.0,428.0,78909.31966703146,14200.0,0.0,10600.0,0.0,0.0,53.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,55.0,0.0,0.0,0.0
2023-01-09,18122,48.0,48.0,630.2732240437159,0.0,470.0,78818.41027576008,12000.0,0.0,8400.0,0.0,0.0,42.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,54.0,0.0,0.0,0.0
2023-01-10,18128,55.0,55.0,713.0464480874318,0.0,535.0,78849.74966080896,16600.0,0.0,13000.0,0.0,0.0,65.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,73.0,0.0,0.0,0.0
2023-01-11,18118,51.0,51.0,779.8633879781421,0.0,584.0,78844.33022768231,13400.0,0.0,9800.0,0.0,0.0,49.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,84.0,0.0,0.0,0.0
2023-01-12,18120,49.0,49.0,840.6967213114754,0.0,627.0,78712.54525623978,12200.0,0.0,8600.0,0.0,0.0,43.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,75.0,0.0,0.0,0.0
2023-01-13,18126,51.0,51.0,911.5027322404371,0.0,680.0,78657.26776366912,14200.0,0.0,10600.0,0.0,0.0,53.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,73.0,0.0,0.0,0.0
2023-01-14,18124,57.0,57.0,976.3251366120219,0.0,727.0,78992.05157430662,13000.0,0.0,9400.0,0.0,0.0,47.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,64.0,0.0,0.0,0.0
2023-01-15,18134,45.0,45.0,1051.120218579235,0.0,784.0,78902.92676023357,15000.0,0.0,11400.0,0.0,0.0,57.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,66.0,0.0,0.0,0.0
2023-01-16,18122,48.0,48.0,1115.9426229508197,0.0,831.0,78766.5242180356,13000.0,0.0,9400.0,0.0,0.0,47.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,59.0,0.0,0.0,0.0
2023-01-17,18123,45.0,45.0,1177.7732240437158,0.0,875.0,78687.05156323237,12400.0,200.0,8600.0,0.0,0.0,43.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,64.0,0.0,0.0,0.0
2023-01-18,18124,47.0,47.0,1261.5437158469947,0.0,941.0,78391.31697361924,16800.0,1200.0,12000.0,0.0,0.0,60.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,68.0,0.0,0.0,0.0
2023-01-19,18105,46.0,46.0,1332.3497267759562,0.0,994.0,78290.12595707425,14200.0,0.0,10600.0,0.0,0.0,53.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,67.0,0.0,0.0,0.0
2023-01-20,18098,63.0,63.0,1397.172131147541,0.0,1041.0,78511.29650445009,13000.0,200.0,9200.0,0.0,0.0,46.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,64.0,0.0,0.0,0.0
2023-01-21,18114,56.0,56.0,1460.0,0.0,1086.0,78391.6089627344,12600.0,200.0,8800.0,0.0,0.0,44.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,62.0,0.0,0.0,0.0
2023-01-22,18125,52.0,52.0,1522.827868852459,0.0,1131.0,78328.41937030762,12600.0,600.0,8400.0,0.0,0.0,42.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,88.0,0.0,0.0,0.0
2023-01-23,18132,53.0,53.0,1606.5983606557377,0.0,1197.0,78201.27938138445,16800.0,600.0,12600.0,0.0,0.0,63.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,78.0,0.0,0.0,0.0
2023-01-24,18119,57.0,57.0,1671.4207650273224,0.0,1244.0,78196.79220754922,13000.0,400.0,9000.0,0.0,0.0,45.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,64.0,0.0,0.0,0.0
